,average_month_invites,average_week_invites,diff_day_first,diff_day_second,diff_days_mean,diff_days_last,diff_days_prelast,diff_test_date_and_last_invite,end_date_clientstart_median,end_date_clientstart_max-min,difference_median_and_max-min,diff_first_lastdt,diff_between_end_date_and_first_client,clients_per_day,clients_invited_last_30_days,clients_invited_last_60_days,clients_invited_last_90_days,clients_invited_last_180_days,clients_invited_last_270_days,clients_invited_last_365_days,churn
3825,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,337,337,0,-337,0.0,337,337.0,0,0,0,0,0,1,0
3827,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,521,521,0,-521,0.0,521,521.0,0,0,0,0,0,0,0
3828,5.9,1.9666666666666666,4.0,10.0,9.203389830508474,0.0,40.0,5,357,543,186,4.0,548,9.288135593220339,2,4,4,8,10,30,0
3829,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,218,218,0,-218,0.0,218,218.0,0,0,0,0,1,1,0
3830,2.0,1.0,1.0,-100.0,0.5,1.0,-100.0,29,29,1,-29,0.0,30,15.0,2,2,2,2,2,2,0
3832,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,29,29,0,-29,0.0,29,29.0,1,1,1,1,1,1,1
3833,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,28,28,0,-28,0.0,28,28.0,1,1,1,1,1,1,0
3834,1.0,1.0,33.0,-100.0,16.5,33.0,-100.0,255,271,33,-239,0.0,288,144.0,0,0,0,0,1,2,0
3835,1.5,1.0,116.0,14.0,43.333333333333336,14.0,116.0,259,273,130,-143,102.0,389,129.66666666666666,0,0,0,0,1,2,0
3836,1.0,1.0,53.0,-100.0,26.5,53.0,-100.0,448,474,53,-422,0.0,501,250.5,0,0,0,0,0,0,0
3837,2.6666666666666665,1.411764705882353,31.0,1.0,16.875,21.0,159.0,87,373,405,31,10.0,492,20.5,0,0,1,2,3,10,1
3839,2.0,1.3333333333333333,31.0,1.0,11.0,12.0,1.0,499,511,44,-468,19.0,543,135.75,0,0,0,0,0,0,0
3840,2.0,1.0,2.0,119.0,35.5,21.0,119.0,64,144,142,-3,-19.0,206,51.5,0,0,2,2,4,4,1
3843,2.0,1.0,4.0,25.0,50.875,50.0,33.0,127,222,407,184,-46.0,534,66.75,0,0,0,2,5,5,1
3845,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,5,5,0,-5,0.0,5,5.0,1,1,1,1,1,1,0
3847,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,523,523,0,-523,0.0,523,523.0,0,0,0,0,0,0,0
3849,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,533,533,0,-533,0.0,533,533.0,0,0,0,0,0,0,0
3850,1.0,1.0,38.0,38.0,61.0,168.0,38.0,185,372,244,-128,-130.0,429,107.25,0,0,0,0,1,2,0
3851,1.0,1.0,32.0,-100.0,16.0,32.0,-100.0,491,507,32,-475,0.0,523,261.5,0,0,0,0,0,0,0
3852,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,16,16,0,-16,0.0,16,16.0,1,1,1,1,1,1,0
3853,1.0,1.0,25.0,-100.0,12.5,25.0,-100.0,446,458,25,-434,0.0,471,235.5,0,0,0,0,0,0,0
3854,3.3333333333333335,1.4285714285714286,9.0,4.0,18.1,172.0,4.0,4,297,362,65,-163.0,366,18.3,1,1,1,3,7,19,1
3855,1.25,1.0,11.0,20.0,19.0,39.0,25.0,217,281,95,-186,-28.0,312,62.4,0,0,0,0,2,5,0
3857,1.7272727272727273,1.3571428571428572,48.0,2.0,16.736842105263158,0.0,24.0,12,124,318,194,48.0,330,17.36842105263158,2,4,5,11,15,19,1
3859,33.63636363636363,8.043478260869565,2.0,4.0,0.8486486486486486,0.0,5.0,17,184,314,130,2.0,331,0.8945945945945946,10,23,57,178,324,370,1
3860,1.0,1.0,60.0,40.0,33.8,24.0,45.0,329,398,169,-229,36.0,498,99.6,0,0,0,0,0,2,0
3862,1.8181818181818181,1.1764705882352942,8.0,3.0,17.7,35.0,26.0,10,257,354,97,-27.0,364,18.2,1,2,5,8,10,20,1
3863,1.0,1.0,20.0,-100.0,10.0,20.0,-100.0,382,392,20,-372,0.0,402,201.0,0,0,0,0,0,0,0
3864,1.0,1.0,215.0,-100.0,107.5,215.0,-100.0,155,262,215,-48,0.0,370,185.0,0,0,0,1,1,1,0
3865,2.2222222222222223,1.25,16.0,46.0,15.6,4.0,0.0,223,389,312,-78,12.0,535,26.75,0,0,0,0,4,10,0
3867,2.0,1.0,13.0,80.0,25.75,10.0,80.0,432,482,103,-379,3.0,535,133.75,0,0,0,0,0,0,0
3869,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,300,300,0,-300,0.0,300,300.0,0,0,0,0,0,1,0
3870,1.0,1.0,159.0,-100.0,79.5,159.0,-100.0,159,238,159,-80,0.0,318,159.0,0,0,0,1,1,2,0
3871,1.0,1.0,116.0,-100.0,58.0,116.0,-100.0,376,434,116,-318,0.0,492,246.0,0,0,0,0,0,0,0
3872,1.0,1.0,82.0,-100.0,41.0,82.0,-100.0,130,171,82,-89,0.0,212,106.0,0,0,0,1,2,2,0
3873,1.2,1.2,1.0,28.0,83.16666666666667,43.0,412.0,24,486,499,12,-42.0,523,87.16666666666667,1,1,2,2,2,2,0
3875,1.0,1.0,16.0,-100.0,8.0,16.0,-100.0,244,252,16,-236,0.0,260,130.0,0,0,0,0,2,2,0
3876,1.0,1.0,204.0,-100.0,102.0,204.0,-100.0,5,107,204,97,0.0,209,104.5,1,1,1,1,2,2,0
3877,1.0,1.0,87.0,-100.0,43.5,87.0,-100.0,451,494,87,-408,0.0,538,269.0,0,0,0,0,0,0,0
3878,1.0,1.0,8.0,277.0,80.75,38.0,277.0,199,375,323,-53,-30.0,522,130.5,0,0,0,0,2,2,0
3879,2.4,1.411764705882353,12.0,12.0,19.666666666666668,166.0,47.0,19,391,472,81,-154.0,491,20.458333333333332,1,1,1,1,4,10,1
3880,1.5714285714285714,1.1,31.0,6.0,42.90909090909091,121.0,39.0,73,395,472,77,-90.0,545,49.54545454545455,0,0,1,1,3,5,0
3882,1.5,1.5,1.0,19.0,6.666666666666667,19.0,1.0,516,535,20,-515,-18.0,536,178.66666666666666,0,0,0,0,0,0,0
3886,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,189,189,0,-189,0.0,189,189.0,0,0,0,0,1,1,0
3889,1.6,1.1428571428571428,0.0,137.0,28.0,23.0,14.0,300,354,224,-130,-23.0,524,65.5,0,0,0,0,0,4,0
3890,2.0,1.25,13.0,5.0,11.8,2.0,4.0,44,128,118,-10,11.0,162,16.2,0,3,3,10,10,10,1
3892,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,12,12,0,-12,0.0,12,12.0,1,1,1,1,1,1,1
3893,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,537,537,0,-537,0.0,537,537.0,0,0,0,0,0,0,0
3894,1.3333333333333333,1.3333333333333333,31.0,3.0,29.25,83.0,3.0,319,403,117,-287,-52.0,436,109.0,0,0,0,0,0,1,0
3895,1.25,1.0,18.0,18.0,66.0,266.0,28.0,86,380,330,-50,-248.0,416,83.2,0,0,1,1,1,2,1
3896,7.416666666666667,2.022727272727273,66.0,1.0,5.662921348314606,3.0,0.0,12,239,504,265,63.0,516,5.797752808988764,7,11,15,33,51,74,1
3897,1.8333333333333333,1.375,1.0,20.0,31.636363636363637,0.0,136.0,117,289,348,59,1.0,465,42.27272727272727,0,0,0,2,4,7,0
3898,16.416666666666668,4.282608695652174,6.0,1.0,2.685279187817259,0.0,3.0,12,166,529,363,6.0,541,2.746192893401015,13,22,48,107,144,175,1
3899,1.8888888888888888,1.2142857142857142,29.0,10.0,29.235294117647058,13.0,1.0,40,389,497,108,16.0,537,31.58823529411765,0,3,3,4,5,8,1
3901,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,317,317,0,-317,0.0,317,317.0,0,0,0,0,0,1,0
3902,10.375,2.9642857142857144,6.0,1.0,2.6626506024096384,11.0,3.0,308,403,221,-182,-5.0,529,6.373493975903615,0,0,0,0,0,26,0
3903,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,74,74,0,-74,0.0,74,74.0,0,0,1,1,1,1,0
3904,2.0,1.25,14.0,11.0,41.2,0.0,91.0,94,412,412,0,14.0,506,50.6,0,0,0,2,3,4,0
3906,3.2,1.7777777777777777,2.0,1.0,7.0,28.0,20.0,137,229,112,-117,-26.0,249,15.5625,0,0,0,2,16,16,0
3909,6.666666666666667,3.076923076923077,52.0,15.0,4.775,1.0,4.0,332,376,191,-185,51.0,523,13.075,0,0,0,0,0,13,0
3911,3.4,1.7,77.0,13.0,10.294117647058824,7.0,18.0,373,432,175,-257,70.0,548,32.23529411764706,0,0,0,0,0,0,0
3912,1.75,1.1666666666666667,48.0,78.0,72.14285714285714,9.0,193.0,10,384,505,121,39.0,515,73.57142857142857,2,2,2,2,3,3,1
3913,4.333333333333333,1.625,3.0,3.0,6.076923076923077,10.0,17.0,5,44,79,35,-7.0,84,6.461538461538462,2,9,13,13,13,13,1
3916,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,171,171,0,-171,0.0,171,171.0,0,0,0,1,1,1,0
3917,1.5,1.5,10.0,190.0,62.166666666666664,3.0,87.0,33,164,373,208,7.0,406,67.66666666666667,0,2,2,3,4,4,0
3918,3.75,1.6666666666666667,0.0,1.0,31.866666666666667,41.0,296.0,37,439,478,39,-41.0,515,34.333333333333336,0,1,2,2,2,2,0
3919,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,288,288,0,-288,0.0,288,288.0,0,0,0,0,0,1,1
3920,1.2857142857142858,1.0,19.0,294.0,56.44444444444444,19.0,19.0,25,171,508,337,0.0,533,59.22222222222222,1,2,3,5,7,7,1
3921,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,508,508,0,-508,0.0,508,508.0,0,0,0,0,0,0,0
3922,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,73,73,0,-73,0.0,73,73.0,0,0,1,1,1,1,0
3923,1.3333333333333333,1.1428571428571428,0.0,8.0,36.125,22.0,142.0,254,476,289,-187,-22.0,543,67.875,0,0,0,0,1,2,0
3924,1.2,1.2,57.0,0.0,55.666666666666664,153.0,47.0,212,450,334,-117,-96.0,546,91.0,0,0,0,0,1,2,0
3925,1.2,1.2,97.0,69.0,60.666666666666664,82.0,28.0,172,326,364,38,15.0,536,89.33333333333333,0,0,0,1,2,3,0
3926,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,5,5,0,-5,0.0,5,5.0,1,1,1,1,1,1,0
3927,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,191,191,0,-191,0.0,191,191.0,0,0,0,0,1,1,0
3928,2.0,1.1428571428571428,36.0,0.0,15.75,55.0,9.0,411,492,126,-367,-19.0,537,67.125,0,0,0,0,0,0,0
3929,3.272727272727273,1.3333333333333333,0.0,42.0,14.083333333333334,48.0,5.0,43,385,507,121,-48.0,550,15.277777777777779,0,1,1,6,8,16,1
3931,4.666666666666667,2.3333333333333335,2.0,1.0,6.142857142857143,61.0,5.0,458,535,86,-449,-59.0,544,38.857142857142854,0,0,0,0,0,0,0
3933,3.142857142857143,1.4666666666666666,1.0,7.0,8.363636363636363,32.0,15.0,358,478,184,-295,-31.0,542,24.636363636363637,0,0,0,0,0,1,1
3935,2.0,1.2,133.0,124.0,33.0,4.0,3.0,99,152,396,244,129.0,495,41.25,0,0,0,7,10,11,1
3938,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,37,37,0,-37,0.0,37,37.0,0,1,1,1,1,1,0
3939,1.5,1.0,5.0,72.0,25.666666666666668,72.0,5.0,473,545,77,-468,-67.0,550,183.33333333333334,0,0,0,0,0,0,0
3940,1.0,1.0,62.0,-100.0,31.0,62.0,-100.0,199,230,62,-168,0.0,261,130.5,0,0,0,0,2,2,0
3941,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,387,387,0,-387,0.0,387,387.0,0,0,0,0,0,0,0
3942,1.6,1.1428571428571428,6.0,24.0,18.625,59.0,20.0,324,421,149,-273,-53.0,473,59.125,0,0,0,0,0,1,0
3945,2.6363636363636362,1.5263157894736843,10.0,8.0,16.413793103448278,6.0,0.0,24,236,476,240,4.0,500,17.24137931034483,6,8,8,13,16,20,1
3946,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,279,279,0,-279,0.0,279,279.0,0,0,0,0,0,1,0
3947,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,24,24,0,-24,0.0,24,24.0,1,1,1,1,1,1,1
3948,2.0,1.5555555555555556,48.0,64.0,28.642857142857142,29.0,15.0,147,196,401,204,19.0,548,39.142857142857146,0,0,0,2,8,10,1
3950,1.6666666666666667,1.25,23.0,43.0,50.1,57.0,245.0,37,376,501,124,-34.0,538,53.8,0,1,1,2,2,5,1
3952,4.4,1.9130434782608696,10.0,1.0,11.090909090909092,33.0,24.0,53,427,488,60,-23.0,541,12.295454545454545,0,1,2,4,6,10,1
3953,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,515,515,0,-515,0.0,515,515.0,0,0,0,0,0,0,0
3955,3.0,1.5,3.0,19.0,7.333333333333333,19.0,3.0,523,542,22,-520,-16.0,545,181.66666666666666,0,0,0,0,0,0,0
3956,1.6,1.0,18.0,9.0,24.5,26.0,14.0,311,388,196,-193,-8.0,507,63.375,0,0,0,0,0,4,0
3958,6.75,2.53125,39.0,5.0,5.320987654320987,8.0,7.0,4,162,431,269,31.0,435,5.37037037037037,3,9,25,47,55,75,1
3959,1.4,1.1666666666666667,18.0,14.0,39.57142857142857,14.0,160.0,171,346,277,-69,4.0,448,64.0,0,0,0,1,2,4,0
3960,1.25,1.0,13.0,30.0,17.2,19.0,24.0,237,280,86,-194,-6.0,323,64.6,0,0,0,0,2,5,0
3961,5.0,2.5,1.0,3.0,2.4,7.0,1.0,73,81,12,-69,-6.0,85,17.0,0,0,5,5,5,5,0
3962,5.75,2.875,24.0,0.0,6.695652173913044,0.0,6.0,12,26,154,128,24.0,166,7.217391304347826,12,18,18,23,23,23,1
3964,1.2857142857142858,1.125,34.0,2.0,39.0,43.0,32.0,87,253,351,98,-9.0,438,48.666666666666664,0,0,1,3,5,6,0
3965,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,370,370,0,-370,0.0,370,370.0,0,0,0,0,0,0,0
3966,5.666666666666667,2.4285714285714284,1.0,0.0,6.529411764705882,0.0,20.0,5,87,111,24,1.0,116,6.823529411764706,3,3,9,17,17,17,1
3967,2.0,1.0769230769230769,0.0,28.0,23.785714285714285,1.0,23.0,113,213,333,119,-1.0,446,31.857142857142858,0,0,0,7,9,9,0
3968,2.0,2.0,2.0,-100.0,1.0,2.0,-100.0,319,320,2,-318,0.0,321,160.5,0,0,0,0,0,2,1
3969,6.142857142857143,2.5294117647058822,21.0,3.0,4.767441860465116,0.0,12.0,4,110,205,95,21.0,209,4.8604651162790695,11,13,15,40,43,43,1
3970,1.0,1.0,20.0,29.0,17.5,21.0,29.0,29,64,70,5,-1.0,99,24.75,1,2,3,4,4,4,1
3971,1.4,1.1666666666666667,47.0,45.0,59.0,7.0,144.0,32,322,413,91,40.0,445,63.57142857142857,0,2,2,2,3,5,0
3972,11.0,3.6666666666666665,5.0,0.0,0.8181818181818182,1.0,0.0,435,437,9,-428,4.0,444,40.36363636363637,0,0,0,0,0,0,0
3973,1.0,1.0,38.0,61.0,33.0,61.0,38.0,262,323,99,-224,-23.0,361,120.33333333333333,0,0,0,0,1,3,1
3976,2.0,1.0,6.0,-100.0,3.0,6.0,-100.0,64,67,6,-61,0.0,70,35.0,0,0,2,2,2,2,0
3977,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,376,376,0,-376,0.0,376,376.0,0,0,0,0,0,0,0
3978,2.0,2.0,0.0,-100.0,0.0,0.0,-100.0,443,443,0,-443,0.0,443,221.5,0,0,0,0,0,0,0
3979,1.0,1.0,104.0,-100.0,52.0,104.0,-100.0,66,118,104,-14,0.0,170,85.0,0,0,1,2,2,2,0
3980,3.9166666666666665,1.8076923076923077,40.0,2.0,8.829787234042554,1.0,36.0,15,185,415,230,39.0,430,9.148936170212766,2,3,5,21,40,43,1
3982,1.0,1.0,42.0,50.0,29.5,26.0,50.0,325,376,118,-258,16.0,443,110.75,0,0,0,0,0,2,0
3983,1.3333333333333333,1.3333333333333333,1.0,51.0,70.25,229.0,51.0,151,405,281,-125,-228.0,432,108.0,0,0,0,1,1,1,0
3984,1.0,1.0,24.0,65.0,33.8,85.0,26.0,94,271,338,67,-61.0,432,43.2,0,0,0,2,5,8,0
3985,1.5714285714285714,1.1,3.0,18.0,36.63636363636363,7.0,58.0,36,238,403,165,-4.0,439,39.90909090909091,0,2,2,4,6,7,1
3989,6.0,2.4705882352941178,7.0,0.0,4.309523809523809,1.0,6.0,4,123,181,58,6.0,185,4.404761904761905,5,8,13,41,42,42,1
3990,1.0,1.0,25.0,-100.0,12.5,25.0,-100.0,46,58,25,-34,0.0,71,35.5,0,1,2,2,2,2,1
3992,2.1818181818181817,1.5,21.0,7.0,12.458333333333334,2.0,20.0,23,194,299,104,19.0,322,13.416666666666666,2,5,6,11,18,24,1
3993,2.0,2.0,0.0,-100.0,0.0,0.0,-100.0,438,438,0,-438,0.0,438,219.0,0,0,0,0,0,0,0
3994,1.5,1.5,0.0,30.0,10.0,30.0,0.0,155,185,30,-155,-30.0,185,61.666666666666664,0,0,0,1,3,3,0
3995,1.5555555555555556,1.1666666666666667,36.0,58.0,26.5,36.0,23.0,11,153,371,218,0.0,382,27.285714285714285,1,2,3,9,10,13,1
3996,1.25,1.0,14.0,52.0,29.4,42.0,7.0,136,230,294,64,-28.0,430,43.0,0,0,0,2,6,8,0
3997,3.4285714285714284,1.7142857142857142,4.0,2.0,17.166666666666668,6.0,18.0,23,259,412,152,-2.0,435,18.125,2,4,6,6,15,16,1
3999,1.0,1.0,60.0,248.0,102.66666666666667,248.0,60.0,110,358,308,-50,-188.0,418,139.33333333333334,0,0,0,1,1,2,0
4000,3.0,3.0,0.0,3.0,1.0,3.0,0.0,283,286,3,-283,-3.0,286,95.33333333333333,0,0,0,0,0,3,0
4001,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,436,436,0,-436,0.0,436,436.0,0,0,0,0,0,0,0
4002,1.0,1.0,8.0,39.0,15.666666666666666,39.0,8.0,351,390,47,-343,-31.0,398,132.66666666666666,0,0,0,0,0,1,0
4003,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,128,128,0,-128,0.0,128,128.0,0,0,0,1,1,1,1
4004,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,381,381,0,-381,0.0,381,381.0,0,0,0,0,0,0,0
4005,1.4,1.1666666666666667,15.0,14.0,27.714285714285715,102.0,55.0,237,396,194,-202,-87.0,431,61.57142857142857,0,0,0,0,1,2,1
4008,1.5,1.25,6.0,47.0,25.333333333333332,2.0,53.0,24,294,380,86,4.0,404,26.933333333333334,2,2,3,5,7,13,1
4009,2.4,1.5,8.0,0.0,11.666666666666666,4.0,38.0,226,320,140,-181,4.0,366,30.5,0,0,0,0,4,11,0
4011,1.5555555555555556,1.2727272727272727,8.0,20.0,24.642857142857142,0.0,89.0,67,315,345,29,8.0,412,29.428571428571427,0,0,2,3,6,10,0
4012,1.0,1.0,91.0,-100.0,45.5,91.0,-100.0,339,384,91,-294,0.0,430,215.0,0,0,0,0,0,1,0
4013,1.25,1.25,28.0,27.0,84.4,353.0,14.0,10,377,422,45,-325.0,432,86.4,1,1,1,1,1,2,1
4017,1.8333333333333333,1.2941176470588236,4.0,10.0,17.5,0.0,27.0,17,283,385,102,4.0,402,18.272727272727273,2,3,4,6,10,15,1
4018,1.3333333333333333,1.0,35.0,20.0,38.25,98.0,20.0,157,265,153,-112,-63.0,310,77.5,0,0,0,1,2,4,0
4020,1.25,1.0,44.0,39.0,27.9,47.0,47.0,130,276,279,2,-3.0,409,40.9,0,0,0,2,5,9,0
4023,1.3333333333333333,1.3333333333333333,0.0,2.0,30.875,9.0,99.0,274,484,247,-238,-9.0,521,65.125,0,0,0,0,0,2,0
4025,1.3,1.0,28.0,129.0,35.0,28.0,32.0,24,169,455,286,0.0,479,36.84615384615385,1,2,3,7,10,11,1
4027,1.0,1.0,42.0,-100.0,21.0,42.0,-100.0,480,501,42,-459,0.0,522,261.0,0,0,0,0,0,0,0
4028,1.3333333333333333,1.0909090909090908,24.0,26.0,42.75,27.0,52.0,17,221,513,291,-3.0,530,44.166666666666664,1,2,2,5,7,7,1
4033,3.2,1.4545454545454546,12.0,16.0,7.6875,4.0,2.0,11,74,123,49,8.0,134,8.375,3,5,10,16,16,16,1
4034,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,465,465,0,-465,0.0,465,465.0,0,0,0,0,0,0,0
4035,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,515,515,0,-515,0.0,515,515.0,0,0,0,0,0,0,0
4036,2.0,1.3333333333333333,0.0,13.0,8.25,20.0,13.0,356,382,33,-350,-20.0,389,97.25,0,0,0,0,0,1,0
4037,1.0,1.0,126.0,57.0,61.0,57.0,126.0,273,330,183,-147,69.0,456,152.0,0,0,0,0,0,2,0
4038,1.0,1.25,78.0,31.0,37.0,4.0,72.0,123,199,185,-14,74.0,308,61.6,0,0,0,2,4,5,0
4039,2.3333333333333335,1.75,0.0,1.0,68.0,442.0,28.0,52,527,476,-51,-442.0,528,75.42857142857143,0,1,1,1,1,1,0
4040,1.0,1.0,150.0,-100.0,75.0,150.0,-100.0,88,163,150,-13,0.0,238,119.0,0,0,1,1,2,2,0
4041,2.0,1.2,8.0,11.0,9.166666666666666,14.0,21.0,487,522,55,-468,-6.0,542,90.33333333333333,0,0,0,0,0,0,0
4042,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,37,37,0,-37,0.0,37,37.0,0,1,1,1,1,1,0
4043,1.4444444444444444,1.1818181818181819,23.0,21.0,22.615384615384617,12.0,17.0,38,184,294,110,11.0,332,25.53846153846154,0,2,3,6,10,13,1
4044,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,330,330,0,-330,0.0,330,330.0,0,0,0,0,0,1,0
4045,1.5,1.5,43.0,0.0,14.333333333333334,0.0,43.0,78,78,43,-35,43.0,121,40.333333333333336,0,0,2,3,3,3,0
4046,1.5,1.5,25.0,0.0,8.333333333333334,0.0,25.0,446,446,25,-421,25.0,471,157.0,0,0,0,0,0,0,0
4048,1.5,1.0588235294117647,0.0,21.0,27.666666666666668,55.0,37.0,23,305,498,192,-55.0,521,28.944444444444443,1,1,2,5,8,12,0
4049,1.0,1.0,219.0,-100.0,109.5,219.0,-100.0,276,385,219,-167,0.0,495,247.5,0,0,0,0,0,1,0
4052,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,501,501,0,-501,0.0,501,501.0,0,0,0,0,0,0,0
4053,3.6666666666666665,2.0,13.0,51.0,7.181818181818182,0.0,3.0,4,25,158,132,13.0,162,7.363636363636363,12,18,19,22,22,22,0
4054,74.08333333333333,17.431372549019606,3.0,2.0,0.484814398200225,0.0,1.0,4,144,431,287,3.0,435,0.48931383577052867,54,112,200,522,719,830,1
4055,1.125,1.0,42.0,10.0,35.55555555555556,80.0,13.0,189,377,320,-57,-38.0,509,56.55555555555556,0,0,0,0,2,4,0
4057,18.666666666666668,5.209302325581396,4.0,1.0,2.107142857142857,1.0,12.0,10,346,472,126,3.0,482,2.1517857142857144,5,13,17,35,46,142,1
4058,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,471,471,0,-471,0.0,471,471.0,0,0,0,0,0,0,0
4059,4.2727272727272725,1.7407407407407407,7.0,7.0,9.574468085106384,5.0,0.0,10,202,450,248,2.0,460,9.787234042553191,5,12,12,23,31,35,1
4060,1.8333333333333333,1.2222222222222223,0.0,8.0,22.09090909090909,58.0,76.0,231,449,243,-206,-58.0,474,43.09090909090909,0,0,0,0,1,3,1
4061,1.2,1.2,1.0,30.0,33.666666666666664,90.0,45.0,266,419,202,-217,-89.0,468,78.0,0,0,0,0,1,2,0
4062,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,502,502,0,-502,0.0,502,502.0,0,0,0,0,0,0,0
4065,1.0,1.0,43.0,16.0,33.6,43.0,66.0,31,140,168,28,0.0,199,39.8,0,1,2,4,5,5,1
4071,5.666666666666667,2.0606060606060606,0.0,10.0,5.102941176470588,9.0,19.0,36,132,347,215,-9.0,383,5.632352941176471,0,2,9,47,53,63,1
4072,1.5,1.5,1.0,330.0,110.33333333333333,330.0,1.0,150,480,331,-149,-329.0,481,160.33333333333334,0,0,0,1,1,1,0
4073,1.5714285714285714,1.0,16.0,15.0,26.181818181818183,80.0,40.0,203,403,288,-115,-64.0,491,44.63636363636363,0,0,0,0,1,5,0
4074,5.0,1.6,0.0,8.0,8.7,78.0,8.0,17,280,348,68,-78.0,365,9.125,1,1,1,10,19,40,1
4075,2.6,1.4444444444444444,9.0,3.0,28.923076923076923,227.0,48.0,126,442,376,-66,-218.0,502,38.61538461538461,0,0,0,1,1,2,0
4076,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,500,500,0,-500,0.0,500,500.0,0,0,0,0,0,0,0
4078,1.0,1.0,34.0,31.0,22.5,25.0,31.0,38,78,90,11,9.0,128,32.0,0,1,2,4,4,4,0
4079,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,127,127,0,-127,0.0,127,127.0,0,0,0,1,1,1,0
4080,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,492,492,0,-492,0.0,492,492.0,0,0,0,0,0,0,0
4082,2.5,1.25,1.0,4.0,13.0,15.0,45.0,435,495,65,-430,-14.0,500,100.0,0,0,0,0,0,0,0
4083,1.5,1.0,58.0,62.0,79.5,123.0,120.0,17,317,477,160,-65.0,494,82.33333333333333,1,1,1,2,3,3,0
4084,1.0,1.0,145.0,153.0,99.33333333333333,153.0,145.0,196,349,298,-51,-8.0,494,164.66666666666666,0,0,0,0,1,2,0
4085,1.0,1.0,51.0,-100.0,25.5,51.0,-100.0,18,43,51,7,0.0,69,34.5,1,1,2,2,2,2,1
4086,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,88,88,0,-88,0.0,88,88.0,0,0,1,1,1,1,0
4088,3.2,1.6,0.0,1.0,8.375,54.0,6.0,358,468,134,-334,-54.0,492,30.75,0,0,0,0,0,1,0
4089,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,51,51,0,-51,0.0,51,51.0,0,1,1,1,1,1,1
4090,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,253,253,0,-253,0.0,253,253.0,0,0,0,0,1,1,0
4091,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,498,498,0,-498,0.0,498,498.0,0,0,0,0,0,0,0
4093,1.25,1.0,4.0,18.0,25.4,79.0,26.0,338,443,127,-316,-75.0,465,93.0,0,0,0,0,0,1,0
4094,11.083333333333334,3.1666666666666665,1.0,2.0,3.669172932330827,29.0,18.0,4,336,488,152,-28.0,492,3.699248120300752,1,3,4,19,40,75,1
4095,1.0,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,46,46,0,-46,0.0,46,46.0,0,1,1,1,1,1,0
4096,7.0,3.0,0.0,0.0,4.523809523809524,4.0,5.0,394,464,95,-369,-4.0,489,23.285714285714285,0,0,0,0,0,0,0
