clientbankpartner_pin,client_pin,partner_src_type_ccode,client_start_date,partnerrolestart_date
137145,16957,4,2020-08-21,2019-04-01
281904,16961,1,2020-08-21,2020-05-01
130756,16962,1,2020-08-15,2019-03-01
10270,16964,1,2020-08-15,2019-02-01
282982,16965,1,2020-08-22,2020-05-01
139195,16966,4,2020-08-17,2019-05-01
133772,16970,4,2020-08-21,2019-12-01
133772,16973,4,2020-08-22,2019-12-01
4102,16974,5,2020-08-15,2019-06-01
282982,16975,1,2020-08-22,2020-05-01
879,16977,5,2020-08-27,2020-03-01
164054,16978,4,2020-08-15,2020-01-01
133772,16981,4,2020-08-21,2019-12-01
293590,16984,1,2020-09-29,2020-05-01
119469,16985,4,2020-09-01,2020-02-01
120651,16987,1,2020-08-27,2020-04-01
241433,16990,4,2020-09-03,2020-02-01
126843,16991,1,2020-08-16,2019-05-01
324664,16992,4,2020-08-27,2020-07-01
123071,16993,4,2020-09-01,2019-05-01
5076,16994,5,2020-09-01,2020-07-01
309743,16997,1,2020-08-21,2020-06-01
178480,16998,4,2020-08-16,2019-08-01
119935,17002,4,2020-08-16,2019-09-01
120742,17005,1,2020-08-16,2019-05-01
199181,17010,4,2020-08-21,2019-11-01
248502,17011,4,2020-08-21,2020-02-01
120545,17013,1,2020-08-20,2019-05-01
191591,17014,1,2020-09-07,2019-10-01
281461,17016,4,2020-09-01,2020-04-01
275302,17021,4,2020-08-27,2020-04-01
7082,17025,4,2020-08-22,2019-12-01
286193,17026,4,2020-08-22,2020-05-01
280151,17027,4,2020-08-20,2020-07-01
189914,17032,4,2020-08-22,2019-11-01
4983,17035,5,2020-08-17,2020-05-01
329078,17037,1,2020-08-16,2020-07-01
266386,17040,4,2020-08-16,2020-07-01
185230,17044,4,2020-08-20,2019-11-01
303866,17047,4,2020-08-28,2020-05-01
2879,17049,5,2020-09-06,2019-09-01
164540,17051,4,2020-08-16,2019-09-01
214952,17054,4,2020-08-22,2019-12-01
9002,17055,1,2020-08-16,2019-10-01
311262,17057,4,2020-09-03,2020-06-01
181261,17059,4,2020-08-27,2019-08-01
281904,17060,1,2020-08-20,2020-05-01
120489,17063,4,2020-08-20,2020-07-01
273882,17064,1,2020-08-22,2020-04-01
3747,17065,5,2020-08-22,2020-06-01
135070,17067,4,2020-08-22,2019-08-01
199181,17068,4,2020-08-28,2019-11-01
1713,17069,5,2020-08-16,2019-04-01
225103,17073,4,2020-08-16,2019-12-01
260082,17074,4,2020-09-24,2020-03-01
223317,17076,4,2020-08-22,2019-12-01
121576,17077,4,2020-08-27,2019-09-01
119926,17080,4,2020-08-16,2020-04-01
285165,17081,4,2020-08-22,2020-05-01
194175,17082,4,2020-08-27,2019-10-01
10352,17083,4,2020-08-25,2020-07-01
3130,17084,5,2020-08-16,2020-04-01
285165,17085,4,2020-08-21,2020-05-01
260082,17086,4,2020-08-20,2020-03-01
282982,17087,1,2020-08-22,2020-05-01
3199,17088,5,2020-08-23,2019-06-01
226535,17089,1,2020-08-22,2020-01-01
130756,17093,1,2020-08-16,2019-03-01
120476,17096,4,2020-08-22,2020-05-01
135070,17099,4,2020-08-20,2019-08-01
135070,17103,4,2020-08-17,2019-08-01
121413,17104,4,2020-09-10,2020-08-01
251500,17108,4,2020-08-21,2020-03-01
137503,17113,4,2020-08-25,2019-04-01
28973,17116,4,2020-08-15,2020-08-01
183362,17118,1,2020-08-28,2019-09-01
331745,17120,4,2020-08-23,2020-07-01
173951,17121,1,2020-08-17,2019-10-01
4359,17123,5,2020-08-16,2019-09-01
8107,17124,4,2020-08-27,2019-10-01
300810,17125,4,2020-08-16,2020-05-01
4017,17128,5,2020-08-15,2019-07-01
220547,17130,4,2020-09-07,2020-04-01
361,17131,5,2020-08-16,2020-03-01
231326,17132,4,2020-08-15,2020-07-01
220547,17133,4,2020-09-01,2020-04-01
120741,17134,1,2020-08-15,2018-12-01
235258,17136,4,2020-08-21,2020-01-01
119355,17138,4,2020-08-16,2020-01-01
220547,17139,4,2020-08-22,2020-04-01
216653,17141,4,2020-08-22,2019-12-01
4033,17142,5,2020-08-21,2020-04-01
161885,17143,4,2020-08-27,2019-08-01
8698,17146,1,2020-08-15,2019-09-01
6881,17147,4,2020-08-22,2020-05-01
210881,17151,4,2020-09-03,2019-11-01
8107,17152,4,2020-08-22,2019-10-01
273882,17156,1,2020-08-27,2020-04-01
181261,17160,4,2020-09-29,2019-08-01
4481,17162,5,2020-08-27,2019-09-01
183362,17163,1,2020-08-28,2019-09-01
1636,17164,5,2020-09-10,2020-08-01
210881,17165,4,2020-09-03,2019-11-01
264590,17168,4,2020-08-16,2020-03-01
1636,17169,5,2020-09-23,2020-08-01
286538,17172,4,2020-08-16,2020-04-01
255018,17173,1,2020-08-22,2020-03-01
234131,17174,4,2020-08-17,2020-03-01
210881,17175,4,2020-09-01,2019-11-01
325009,17178,4,2020-08-22,2020-07-01
210881,17180,4,2020-09-01,2019-11-01
232684,17183,4,2020-08-16,2020-03-01
125477,17184,4,2020-08-27,2020-02-01
213275,17186,4,2020-08-15,2020-01-01
210881,17187,4,2020-09-01,2019-11-01
200035,17188,4,2020-08-15,2020-04-01
183362,17189,1,2020-08-28,2019-09-01
123986,17191,4,2020-08-22,2019-10-01
311805,17192,4,2020-08-17,2020-06-01
169428,17193,4,2020-09-02,2019-09-01
215908,17201,1,2020-08-20,2019-12-01
993,17202,5,2020-08-16,2018-12-01
118622,17207,1,2020-08-22,2019-09-01
23628,17208,4,2020-08-17,2020-08-01
282414,17210,4,2020-08-17,2020-07-01
270614,17211,1,2020-08-20,2020-03-01
3859,17212,5,2020-08-15,2019-09-01
164054,17214,4,2020-08-16,2020-01-01
157729,17218,1,2020-09-20,2019-11-01
234131,17220,4,2020-08-22,2020-03-01
122532,17222,1,2020-08-22,2019-04-01
182328,17223,4,2020-08-15,2020-04-01
161042,17224,4,2020-08-15,2019-07-01
211225,17225,4,2020-08-22,2019-11-01
322696,17228,4,2020-08-28,2020-07-01
3025,17232,5,2020-08-17,2020-01-01
4033,17241,5,2020-08-17,2020-04-01
4964,17244,5,2020-08-22,2020-04-01
4964,17246,5,2020-08-22,2020-04-01
3969,17253,5,2020-08-16,2020-01-01
130756,17254,1,2020-08-15,2019-03-01
4017,17255,5,2020-08-15,2019-07-01
271409,17256,4,2020-08-16,2020-03-01
3969,17259,5,2020-08-16,2020-01-01
118441,17260,4,2020-08-16,2019-12-01
237709,17263,4,2020-08-17,2020-01-01
996,17266,5,2020-08-15,2020-04-01
247277,17267,4,2020-08-20,2020-02-01
293590,17268,1,2020-08-16,2020-05-01
235287,17270,4,2020-08-22,2020-01-01
236304,17272,4,2020-08-22,2020-02-01
126256,17274,4,2020-08-21,2019-03-01
23008,17275,4,2020-08-17,2020-08-01
167827,17276,4,2020-08-27,2019-07-01
157729,17278,1,2020-09-03,2019-11-01
5132,17280,5,2020-08-20,2020-06-01
252921,17284,4,2020-08-15,2020-03-01
3025,17289,5,2020-08-16,2020-01-01
5132,17291,5,2020-08-27,2020-06-01
326611,17292,4,2020-08-21,2020-07-01
5132,17293,5,2020-08-17,2020-06-01
212394,17295,4,2020-08-22,2020-04-01
604,17296,5,2020-08-18,2020-07-01
328707,17299,4,2020-08-27,2020-08-01
5132,17301,5,2020-08-17,2020-06-01
3025,17302,5,2020-08-16,2020-01-01
604,17303,5,2020-08-17,2020-07-01
218269,17304,4,2020-08-15,2019-12-01
228136,17305,4,2020-09-13,2020-02-01
286644,17309,4,2020-08-16,2020-08-01
298569,17311,4,2020-08-17,2020-05-01
326611,17313,4,2020-08-16,2020-07-01
125693,17316,4,2020-08-16,2019-04-01
247277,17317,4,2020-08-20,2020-02-01
6057,17319,1,2020-08-22,2019-10-01
7641,17321,4,2020-08-27,2019-10-01
12174,17322,1,2020-08-17,2020-07-01
243442,17327,4,2020-10-19,2020-02-01
318875,17328,4,2020-08-17,2020-06-01
169543,17329,4,2020-09-17,2019-08-01
243413,17330,4,2020-08-16,2020-04-01
22,17331,5,2020-08-16,2020-07-01
176815,17332,4,2020-08-16,2019-09-01
1603,17334,5,2020-08-22,2019-10-01
152431,17337,4,2020-08-17,2020-03-01
23008,17341,4,2020-08-22,2020-08-01
285056,17344,4,2020-08-16,2020-04-01
330149,17348,1,2020-08-17,2020-07-01
23008,17350,4,2020-08-28,2020-08-01
225583,17354,4,2020-08-27,2020-02-01
319680,17355,4,2020-08-16,2020-07-01
213937,17356,1,2020-08-28,2020-03-01
225583,17357,4,2020-08-17,2020-02-01
258542,17360,4,2020-08-21,2020-04-01
258542,17361,4,2020-08-21,2020-04-01
225583,17367,4,2020-08-21,2020-02-01
879,17368,5,2020-08-16,2020-03-01
3980,17370,5,2020-08-16,2019-06-01
130756,17371,1,2020-08-16,2019-03-01
5057,17372,5,2020-08-16,2020-05-01
182409,17374,4,2020-08-17,2020-02-01
125315,17376,1,2020-09-14,2019-02-01
182409,17377,4,2020-08-17,2020-02-01
330149,17378,1,2020-08-22,2020-07-01
237252,17379,1,2020-09-01,2020-01-01
129598,17381,4,2020-08-17,2020-01-01
326947,17382,1,2020-09-21,2020-07-01
270274,17386,4,2020-08-17,2020-03-01
4863,17391,5,2020-08-27,2020-08-01
165358,17392,4,2020-08-16,2019-07-01
165358,17393,4,2020-09-21,2019-07-01
165358,17394,4,2020-08-16,2019-07-01
4863,17396,5,2020-08-16,2020-08-01
4863,17397,5,2020-08-16,2020-08-01
122002,17398,4,2020-08-17,2019-02-01
122002,17399,4,2020-08-17,2019-02-01
319680,17400,4,2020-08-16,2020-07-01
225625,17401,4,2020-09-01,2020-01-01
121483,17402,1,2020-08-16,2019-03-01
319680,17403,4,2020-08-16,2020-07-01
276334,17404,4,2020-08-27,2020-04-01
258542,17406,4,2020-08-20,2020-04-01
243413,17407,4,2020-10-14,2020-04-01
1566,17410,5,2020-08-16,2019-07-01
165358,17416,4,2020-08-16,2019-07-01
286193,17423,4,2020-08-17,2020-05-01
247277,17425,4,2020-08-20,2020-02-01
247277,17426,4,2020-08-20,2020-02-01
834,17427,5,2020-10-26,2020-05-01
295057,17428,4,2020-08-16,2020-05-01
1603,17429,5,2020-08-27,2019-10-01
265754,17430,4,2020-08-17,2020-04-01
293736,17431,4,2020-08-16,2020-05-01
244207,17434,4,2020-08-27,2020-02-01
1831,17438,5,2020-08-16,2019-05-01
238694,17439,4,2020-08-20,2020-02-01
8613,17440,1,2020-08-22,2019-03-01
256943,17441,4,2020-08-22,2020-02-01
218115,17442,4,2020-08-16,2019-12-01
218115,17443,4,2020-08-22,2019-12-01
295057,17445,4,2020-09-22,2020-05-01
126256,17447,4,2020-08-21,2019-03-01
314825,17449,4,2020-08-17,2020-06-01
3787,17451,5,2020-08-16,2018-12-01
120071,17452,4,2020-09-22,2019-01-01
120071,17452,4,2020-08-16,2019-01-01
311262,17453,4,2020-08-17,2020-06-01
130756,17455,1,2020-08-16,2019-03-01
13075,17457,1,2020-08-27,2018-12-01
300737,17460,4,2020-08-16,2020-05-01
141828,17462,4,2020-09-03,2019-06-01
119977,17463,4,2020-09-23,2019-01-01
210881,17464,4,2020-09-30,2019-11-01
120704,17465,1,2020-08-22,2018-12-01
141828,17466,4,2020-08-27,2019-06-01
210881,17468,4,2020-09-15,2019-11-01
155334,17469,4,2020-08-17,2020-07-01
315249,17470,4,2020-08-16,2020-06-01
118866,17474,1,2020-08-20,2019-02-01
1493,17476,5,2020-08-20,2019-07-01
210881,17479,4,2020-09-01,2019-11-01
293736,17480,4,2020-08-22,2020-05-01
300737,17481,4,2020-08-27,2020-05-01
10650,17482,4,2020-08-16,2019-08-01
300737,17484,4,2020-08-16,2020-05-01
210881,17487,4,2020-09-02,2019-11-01
167952,17488,4,2020-09-03,2019-11-01
4054,17489,5,2020-08-20,2019-06-01
210881,17490,4,2020-09-01,2019-11-01
264590,17497,4,2020-08-16,2020-03-01
120741,17499,1,2020-08-16,2018-12-01
1652,17500,5,2020-08-27,2020-03-01
199188,17502,4,2020-08-17,2019-10-01
167952,17505,4,2020-09-03,2019-11-01
3995,17506,5,2020-08-21,2019-08-01
133772,17509,4,2020-08-22,2019-12-01
271851,17513,4,2020-09-07,2020-04-01
164054,17514,4,2020-08-17,2020-01-01
235594,17516,4,2020-08-22,2020-01-01
121294,17517,4,2020-08-27,2020-05-01
247084,17519,4,2020-08-27,2020-03-01
122532,17520,1,2020-08-27,2019-04-01
298569,17524,4,2020-08-27,2020-05-01
236682,17525,4,2020-09-10,2020-01-01
322881,17526,4,2020-09-16,2020-07-01
298569,17529,4,2020-08-17,2020-05-01
315249,17533,4,2020-08-17,2020-06-01
137106,17535,4,2020-09-15,2020-01-01
173079,17536,4,2020-08-16,2019-08-01
8613,17537,1,2020-08-21,2019-03-01
5063,17538,5,2020-08-16,2020-05-01
121691,17541,4,2020-08-20,2019-01-01
8858,17544,4,2020-08-22,2019-11-01
198327,17545,4,2020-08-17,2019-10-01
7577,17548,4,2020-08-22,2019-08-01
332721,17549,4,2020-09-06,2020-08-01
121555,17550,4,2020-08-27,2020-06-01
123986,17551,4,2020-08-22,2019-10-01
3962,17552,5,2020-08-20,2020-03-01
300737,17553,4,2020-08-16,2020-05-01
14144,17554,4,2020-08-16,2019-04-01
121519,17558,4,2020-08-28,2019-02-01
120738,17560,4,2020-08-17,2018-12-01
170470,17561,4,2020-08-16,2020-03-01
135070,17562,4,2020-08-20,2019-08-01
3896,17563,5,2020-08-17,2019-01-01
282982,17564,1,2020-08-22,2020-05-01
119926,17565,4,2020-08-16,2020-04-01
260082,17566,4,2020-08-21,2020-03-01
13869,17568,4,2020-09-17,2019-07-01
227008,17569,4,2020-08-16,2020-01-01
137145,17570,4,2020-08-27,2019-04-01
250342,17573,4,2020-08-16,2020-02-01
137145,17574,4,2020-08-21,2019-04-01
170221,17576,4,2020-08-22,2019-08-01
3025,17579,5,2020-08-16,2020-01-01
4059,17584,5,2020-08-22,2019-05-01
299598,17585,4,2020-08-27,2020-06-01
270515,17586,4,2020-08-16,2020-03-01
280151,17588,4,2020-08-17,2020-07-01
264590,17590,4,2020-08-16,2020-03-01
251008,17591,4,2020-08-16,2020-02-01
280151,17592,4,2020-08-20,2020-07-01
2288,17594,5,2020-09-20,2020-01-01
157484,17596,4,2020-08-16,2020-08-01
125368,17600,1,2020-08-16,2019-03-01
280151,17601,4,2020-08-21,2020-07-01
260082,17603,4,2020-08-20,2020-03-01
130756,17604,1,2020-08-16,2019-03-01
280151,17605,4,2020-08-21,2020-07-01
180070,17606,4,2020-09-24,2019-09-01
119426,17608,1,2020-08-20,2019-03-01
271898,17610,4,2020-08-20,2020-03-01
195442,17611,4,2020-08-22,2019-10-01
117608,17612,4,2020-08-16,2019-11-01
280151,17614,4,2020-08-28,2020-07-01
149831,17615,4,2020-08-28,2019-12-01
280151,17618,4,2020-08-16,2020-07-01
121916,17619,4,2020-08-25,2020-05-01
300737,17620,4,2020-08-16,2020-05-01
301521,17621,4,2020-08-28,2020-05-01
123986,17622,4,2020-08-16,2019-10-01
384,17623,5,2020-09-01,2020-02-01
280151,17624,4,2020-08-20,2020-07-01
280151,17626,4,2020-08-20,2020-07-01
312670,17627,1,2020-08-17,2020-06-01
137145,17629,4,2020-08-22,2019-04-01
250342,17630,4,2020-08-17,2020-02-01
220547,17631,4,2020-08-27,2020-04-01
3862,17634,5,2020-08-22,2019-08-01
247084,17635,4,2020-09-02,2020-03-01
220547,17636,4,2020-08-27,2020-04-01
280151,17638,4,2020-08-21,2020-07-01
148160,17639,4,2020-08-16,2019-05-01
4863,17640,5,2020-08-16,2020-08-01
119426,17641,1,2020-08-18,2019-03-01
4863,17642,5,2020-08-16,2020-08-01
259019,17644,4,2020-08-16,2020-03-01
123986,17645,4,2020-08-25,2019-10-01
293590,17647,1,2020-08-16,2020-05-01
2140,17649,5,2020-08-16,2019-05-01
4749,17650,5,2020-08-22,2019-12-01
125209,17652,4,2020-09-01,2019-02-01
125209,17654,4,2020-09-01,2019-02-01
235287,17656,4,2020-09-28,2020-01-01
188403,17657,4,2020-08-28,2019-10-01
145248,17658,4,2020-08-27,2019-08-01
124,17663,5,2020-08-27,2020-05-01
123986,17665,4,2020-08-16,2019-10-01
23628,17667,4,2020-08-17,2020-08-01
159014,17668,4,2020-08-28,2019-06-01
249616,17672,4,2020-09-10,2020-05-01
26821,17673,4,2020-11-10,2020-08-01
120841,17676,4,2020-09-02,2019-01-01
1911,17678,5,2020-08-24,2020-05-01
3787,17679,5,2020-08-17,2018-12-01
270529,17683,4,2020-09-01,2020-03-01
120841,17684,4,2020-08-28,2019-01-01
235287,17686,4,2020-08-22,2020-01-01
278056,17687,4,2020-08-20,2020-04-01
293958,17688,4,2020-08-22,2020-05-01
220547,17691,4,2020-09-07,2020-04-01
3727,17695,5,2020-08-16,2020-01-01
117615,17696,4,2020-08-16,2019-09-01
2140,17701,5,2020-08-21,2019-05-01
23628,17702,4,2020-08-22,2020-08-01
125033,17703,4,2020-08-16,2019-02-01
4683,17704,5,2020-08-16,2019-12-01
149831,17707,4,2020-08-16,2019-12-01
126843,17708,1,2020-08-16,2019-05-01
264590,17712,4,2020-08-16,2020-03-01
260082,17713,4,2020-08-22,2020-03-01
132391,17714,4,2020-08-27,2019-04-01
228136,17715,4,2020-08-28,2020-02-01
125283,17719,4,2020-08-27,2020-03-01
26821,17720,4,2020-11-10,2020-08-01
26821,17722,4,2020-11-10,2020-08-01
11294,17724,1,2020-08-21,2019-06-01
322881,17725,4,2020-08-20,2020-07-01
322881,17728,4,2020-08-20,2020-07-01
322881,17730,4,2020-08-17,2020-07-01
119908,17732,4,2020-08-16,2019-06-01
4748,17734,5,2020-08-21,2020-06-01
164671,17735,4,2020-08-22,2019-08-01
322881,17737,4,2020-08-20,2020-07-01
161885,17740,4,2020-08-27,2019-08-01
322881,17745,4,2020-08-17,2020-07-01
5072,17746,5,2020-08-28,2020-05-01
167939,17749,4,2020-08-17,2019-11-01
300737,17750,4,2020-08-17,2020-05-01
322881,17751,4,2020-08-21,2020-07-01
250342,17753,4,2020-08-20,2020-02-01
164540,17754,4,2020-08-16,2019-09-01
221444,17755,4,2020-08-27,2019-12-01
264590,17762,4,2020-08-16,2020-03-01
503,17764,5,2020-08-16,2019-06-01
1013,17765,5,2020-08-16,2020-08-01
250342,17766,4,2020-08-20,2020-02-01
5069,17768,5,2020-08-27,2020-05-01
2167,17769,5,2020-08-27,2020-04-01
7082,17770,4,2020-08-16,2019-12-01
2619,17771,5,2020-08-16,2020-02-01
228136,17772,4,2020-08-25,2020-02-01
123986,17777,4,2020-08-16,2019-10-01
167952,17778,4,2020-08-28,2019-11-01
300737,17779,4,2020-08-16,2020-05-01
167952,17780,4,2020-08-28,2019-11-01
167827,17781,4,2020-09-06,2019-07-01
195081,17782,4,2020-08-16,2019-10-01
3025,17783,5,2020-08-17,2020-01-01
121855,17784,1,2020-08-22,2019-09-01
246920,17786,4,2020-08-16,2020-02-01
119997,17788,4,2020-08-20,2019-11-01
324664,17790,4,2020-08-27,2020-07-01
128055,17791,4,2020-08-27,2019-05-01
120947,17793,4,2020-08-27,2019-02-01
123986,17794,4,2020-08-16,2019-10-01
2744,17796,5,2020-08-28,2020-04-01
300737,17799,4,2020-08-16,2020-05-01
125477,17800,4,2020-08-22,2020-02-01
264590,17801,4,2020-08-16,2020-03-01
243442,17803,4,2020-09-20,2020-02-01
320092,17804,1,2020-08-16,2020-07-01
11294,17805,1,2020-08-21,2019-06-01
7076,17806,3,2020-08-28,2020-04-01
125283,17808,4,2020-08-28,2020-03-01
123986,17809,4,2020-08-16,2019-10-01
298569,17811,4,2020-09-14,2020-05-01
1147,17812,5,2020-08-16,2019-08-01
296434,17813,4,2020-09-09,2020-05-01
264590,17814,4,2020-08-16,2020-03-01
119997,17815,4,2020-08-20,2019-11-01
125283,17817,4,2020-08-28,2020-03-01
2260,17818,5,2020-08-16,2020-06-01
322851,17821,4,2020-08-21,2020-08-01
165358,17824,4,2020-08-22,2019-07-01
3025,17825,5,2020-08-16,2020-01-01
3025,17826,5,2020-08-16,2020-01-01
120741,17827,1,2020-08-16,2018-12-01
3025,17830,5,2020-08-17,2020-01-01
281904,17831,1,2020-08-22,2020-05-01
2378,17834,5,2020-08-17,2020-01-01
281904,17835,1,2020-08-16,2020-05-01
278235,17836,4,2020-08-17,2020-04-01
130756,17838,1,2020-09-02,2019-03-01
279739,17843,4,2020-08-21,2020-05-01
121691,17845,4,2020-08-28,2019-01-01
3025,17848,5,2020-08-20,2020-01-01
4435,17850,5,2020-08-16,2020-07-01
118518,17853,1,2020-08-28,2019-10-01
2619,17854,5,2020-08-16,2020-02-01
165358,17856,4,2020-08-22,2019-07-01
228472,17857,4,2020-08-16,2020-01-01
303866,17859,4,2020-08-21,2020-05-01
155972,17860,4,2020-08-27,2019-06-01
191765,17863,1,2020-09-13,2019-09-01
278235,17865,4,2020-08-17,2020-04-01
270529,17866,4,2020-08-20,2020-03-01
133772,17867,4,2020-08-27,2019-12-01
23008,17869,4,2020-08-28,2020-08-01
283666,17871,4,2020-09-23,2020-06-01
949,17873,5,2020-09-07,2019-10-01
3550,17875,5,2020-08-27,2019-07-01
949,17876,5,2020-09-07,2019-10-01
269120,17877,4,2020-09-03,2020-03-01
23008,17878,4,2020-08-28,2020-08-01
289544,17879,4,2020-08-22,2020-05-01
283119,17880,4,2020-08-17,2020-07-01
3090,17881,5,2020-09-01,2020-08-01
1217,17884,5,2020-08-16,2019-08-01
24367,17885,4,2020-08-22,2020-08-01
5034,17886,5,2020-08-17,2020-05-01
318875,17887,4,2020-08-28,2020-06-01
164054,17889,4,2020-09-09,2020-01-01
283666,17890,4,2020-09-23,2020-06-01
4964,17891,5,2020-08-17,2020-04-01
167827,17892,4,2020-08-27,2019-07-01
4863,17893,5,2020-08-17,2020-08-01
120841,17894,4,2020-08-28,2019-01-01
258542,17895,4,2020-08-20,2020-04-01
121390,17897,4,2020-08-22,2019-02-01
225169,17900,4,2020-08-27,2019-12-01
121390,17902,4,2020-08-22,2019-02-01
247277,17905,4,2020-08-20,2020-02-01
182409,17909,4,2020-08-17,2020-02-01
167827,17910,4,2020-08-27,2019-07-01
167827,17911,4,2020-08-28,2019-07-01
263334,17913,4,2020-08-21,2020-03-01
23008,17914,4,2020-08-17,2020-08-01
23008,17915,4,2020-08-17,2020-08-01
119355,17917,4,2020-08-20,2020-01-01
122532,17918,1,2020-09-02,2019-04-01
238444,17919,4,2020-08-17,2020-02-01
174095,17921,4,2020-08-18,2019-08-01
5101,17923,5,2020-08-17,2020-07-01
293590,17925,1,2020-08-20,2020-05-01
6881,17926,4,2020-08-17,2020-05-01
129598,17933,4,2020-08-20,2020-01-01
286193,17936,4,2020-08-17,2020-05-01
247277,17938,4,2020-08-20,2020-02-01
247277,17939,4,2020-08-20,2020-02-01
797,17942,5,2020-08-20,2020-02-01
797,17943,5,2020-08-20,2020-02-01
295057,17947,4,2020-09-01,2020-05-01
330149,17949,1,2020-08-20,2020-07-01
218115,17950,4,2020-09-02,2019-12-01
218115,17951,4,2020-09-02,2019-12-01
218115,17952,4,2020-08-21,2019-12-01
121518,17953,1,2020-08-17,2019-02-01
236905,17954,4,2020-09-02,2020-03-01
167827,17956,4,2020-08-27,2019-07-01
319316,17957,4,2020-08-17,2020-07-01
4863,17958,5,2020-08-17,2020-08-01
182339,17959,4,2020-08-17,2019-09-01
1510,17961,5,2020-08-17,2020-08-01
1510,17962,5,2020-08-17,2020-08-01
151681,17963,4,2020-08-21,2019-07-01
324664,17964,4,2020-08-21,2020-07-01
324664,17965,4,2020-08-21,2020-07-01
295057,17966,4,2020-08-28,2020-05-01
121905,17967,1,2020-08-17,2019-05-01
1959,17969,5,2020-08-22,2018-12-01
218115,17970,4,2020-08-21,2019-12-01
218115,17971,4,2020-08-21,2019-12-01
122002,17972,4,2020-08-17,2019-02-01
293736,17973,4,2020-08-20,2020-05-01
121518,17975,1,2020-08-20,2019-02-01
312670,17978,1,2020-08-17,2020-06-01
282982,17979,1,2020-08-22,2020-05-01
121518,17980,1,2020-08-17,2019-02-01
240341,17981,4,2020-09-09,2020-02-01
168325,17982,4,2020-09-01,2019-09-01
311262,17983,4,2020-08-22,2020-06-01
330149,17986,1,2020-08-17,2020-07-01
125315,17988,1,2020-08-17,2019-02-01
125315,17989,1,2020-08-17,2019-02-01
169428,17990,4,2020-09-01,2019-09-01
5112,17991,5,2020-08-18,2020-06-01
4436,17999,5,2020-08-20,2020-06-01
1235,18001,5,2020-08-20,2020-07-01
280151,18002,4,2020-08-20,2020-07-01
327481,18004,4,2020-09-03,2020-07-01
280151,18005,4,2020-08-21,2020-07-01
327481,18007,4,2020-09-09,2020-07-01
280151,18008,4,2020-08-21,2020-07-01
312670,18009,1,2020-08-17,2020-06-01
284901,18014,4,2020-08-27,2020-05-01
223317,18016,4,2020-08-27,2019-12-01
761,18018,5,2020-08-20,2019-10-01
145248,18020,4,2020-08-28,2019-08-01
320966,18021,4,2020-08-22,2020-07-01
268023,18024,4,2020-08-27,2020-04-01
2162,18025,5,2020-08-21,2020-01-01
2160,18026,5,2020-08-16,2020-03-01
243442,18030,4,2020-09-01,2020-02-01
181261,18032,4,2020-09-13,2019-08-01
181261,18033,4,2020-08-17,2019-08-01
243442,18034,4,2020-09-23,2020-02-01
4057,18037,5,2020-09-09,2019-05-01
123986,18041,4,2020-08-17,2019-10-01
288110,18042,4,2020-08-16,2020-07-01
3896,18045,5,2020-08-17,2019-01-01
125092,18047,1,2020-09-01,2019-02-01
311262,18048,4,2020-08-17,2020-06-01
133772,18050,4,2020-08-22,2019-12-01
247277,18059,4,2020-08-20,2020-02-01
247277,18060,4,2020-08-20,2020-02-01
3025,18062,5,2020-08-17,2020-01-01
133772,18066,4,2020-08-22,2019-12-01
8624,18067,4,2020-08-17,2019-11-01
3896,18069,5,2020-08-17,2019-01-01
122002,18071,4,2020-08-17,2019-02-01
125315,18076,1,2020-09-14,2019-02-01
125315,18077,1,2020-09-14,2019-02-01
4054,18078,5,2020-08-21,2019-06-01
235594,18079,4,2020-08-22,2020-01-01
326947,18080,1,2020-09-21,2020-07-01
3962,18081,5,2020-08-20,2020-03-01
133772,18083,4,2020-08-22,2019-12-01
332542,18086,1,2020-08-17,2020-07-01
123986,18087,4,2020-08-17,2019-10-01
264590,18089,4,2020-08-17,2020-03-01
13639,18090,1,2020-08-22,2019-06-01
190581,18091,4,2020-09-07,2019-10-01
4057,18092,5,2020-08-21,2019-05-01
130756,18093,1,2020-08-17,2019-03-01
200396,18094,4,2020-08-17,2019-11-01
118021,18097,4,2020-08-17,2020-02-01
4664,18099,5,2020-08-18,2019-12-01
322881,18103,4,2020-08-20,2020-07-01
188523,18105,4,2020-09-02,2019-10-01
118112,18107,1,2020-08-22,2019-01-01
4824,18112,5,2020-08-21,2020-07-01
274166,18113,4,2020-08-17,2020-04-01
121425,18114,1,2020-10-18,2020-04-01
216653,18115,4,2020-08-28,2019-12-01
2162,18116,5,2020-08-17,2020-01-01
125315,18117,1,2020-09-06,2019-02-01
226317,18118,4,2020-08-28,2020-01-01
184967,18121,4,2020-08-28,2019-09-01
164540,18123,4,2020-08-27,2019-09-01
321753,18124,4,2020-08-27,2020-08-01
3958,18126,5,2020-08-20,2019-06-01
4895,18129,5,2020-09-03,2020-05-01
125445,18132,4,2020-08-17,2019-07-01
218269,18134,4,2020-08-28,2019-12-01
123986,18136,4,2020-08-22,2019-10-01
216653,18138,4,2020-08-17,2019-12-01
2162,18142,5,2020-08-17,2020-01-01
4878,18143,5,2020-08-27,2020-08-01
118866,18144,1,2020-08-20,2019-02-01
123986,18146,4,2020-08-22,2019-10-01
289050,18147,4,2020-08-28,2020-05-01
155334,18148,4,2020-08-21,2020-07-01
295972,18149,4,2020-08-17,2020-05-01
